"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,45156;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55968;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69642;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,67522;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,67628;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53636;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,47912;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57346;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57982;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50774;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,71762;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,71656;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56604;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,42718;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,64024;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52682;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,7314;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62858;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,71232;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57664;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62858;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,65826;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,583;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66674;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50032;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5247;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53212;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57346;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60632;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,63282;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66038;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66462;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53212;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,57664;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,74094;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61162;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5141;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,53954;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,46958;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6572;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66992;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6095;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59042;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,4876;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,54908;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58194;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59996;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,68264;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6625;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56074;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,63388;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6042;"Petit";"Petit"
